"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_DATA_ECMS","VMFS","2047,75","1693,10","354,65","17,32","True","12","3","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_DTWH_00","VMFS","13311,75","1452,59","11859,16","89,09","True","2","1","10.80.18.70;10.80.18.75"
"DS_OS_SHAREPOINT1","VMFS","599,75","214,24","385,51","64,28","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_001","VMFS","10239,75","5127,74","5112,01","49,92","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_RAFM-2","VMFS","10239,75","7072,50","3167,25","30,93","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_OS_XFILE-1","VMFS","1023,75","633,99","389,76","38,07","True","8","3","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_STB_FZ_OS_02","VMFS","1023,75","1009,32","14,43","1,41","True","4","0","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_ELK_HOST3","VMFS","30719,75","12998,41","17721,34","57,69","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_ELK_HOST1","VMFS","20479,75","8540,62","11939,13","58,30","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MX_BKP","VMFS","10239,75","10237,87","1,88","0,02","True","2","0","10.80.18.18;10.80.18.19"
"DS_DATA_MX-01","VMFS","10239,75","10204,51","35,24","0,34","True","3","0","10.80.18.18;10.80.18.19;10.80.18.115"
"DS_DATA_DBSQL-5","VMFS","10239,75","10237,87","1,88","0,02","True","8","0","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_IMAGES_ISO","VMFS","2047,75","810,62","1237,13","60,41","True","12","190","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MX-REP","VMFS","10239,75","3069,87","7169,88","70,02","True","2","0","10.80.18.18;10.80.18.19"
"DS-DATA-VAS-027","VMFS","2047,75","997,44","1050,31","51,29","True","11","3","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XRT","VMFS","1023,75","1019,86","3,89","0,38","True","4","2","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115"
"DS_OS_LAPS_01","VMFS","499,75","471,91","27,84","5,57","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_MX-02","VMFS","2047,75","1059,74","988,01","48,25","True","11","5","10.80.18.70;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
