"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_DATA_SIM","VMFS","3071,75","3070,29","1,46","0,05","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_DATA_QRADAR_602","VMFS","5119,75","905,14","4214,61","82,32","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_MFA","VMFS","1535,75","1330,32","205,43","13,38","True","8","4","10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"snap-50f895cf-DS_DATA_X3-2","VMFS","4095,75","2752,84","1342,91","32,79","True","6","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_VCENTER_PROD","VMFS","2047,75","1658,99","388,76","18,98","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_CACHE_SSD_19","VMFS","139,5","0,55","138,95","99,61","True","1","0","10.80.18.19"
"DS_OS_SAGE_V12","VMFS","2047,75","1808,52","239,23","11,68","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DBSQL-1","VMFS","2047,75","941,91","1105,84","54,00","True","8","6","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_RAFM-2","VMFS","2047,75","1989,18","58,57","2,86","True","8","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CRM_2","VMFS","2047,75","1997,32","50,43","2,46","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_IA-2","VMFS","2047,75","2031,94","15,81","0,77","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_DATA_XXFILE-1","VMFS","10239,75","4098,02","6141,73","59,98","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XXFILE01","VMFS","5119,75","1987,97","3131,78","61,17","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_ELK_HOST4","VMFS","10239,75","10064,08","175,67","1,72","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_RELEVES_n","VMFS","15359,75","222,61","15137,14","98,55","True","11","1","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1 (6)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.18.5"
"DS_OS_BRM_TEST","VMFS","3071,75","1720,55","1351,20","43,99","True","10","7","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_DBSQL-3","VMFS","10239,75","1032,15","9207,60","89,92","True","8","1","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_IA-1","VMFS","1023,75","561,09","462,66","45,19","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_DATA_APP133","VMFS","2047,75","2045,84","1,91","0,09","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_S&D","VMFS","499,75","279,68","220,07","44,04","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"LUN-XFILE-COPY","VMFS","16383,75","16370,49","13,26","0,08","True","10","8","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_WHEHOUS","VMFS","1499,75","568,96","930,79","62,06","True","4","6","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_DATA_XXFILE-2","VMFS","10239,75","4094,48","6145,27","60,01","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_RESTO","VMFS","20479,75","4677,44","15802,31","77,16","True","12","9","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_STB_FZ_DATA_01","VMFS","1023,75","1006,56","17,19","1,68","True","4","0","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_OS_PORTING","VMFS","1023,75","518,14","505,61","49,39","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ADC_011","VMFS","299,75","239,76","59,99","20,01","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SIM","VMFS","499,75","498,34","1,41","0,28","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS-DATA-BRM","VMFS","3071,75","970,21","2101,54","68,42","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_TEST_SRM2","VMFS","499,75","486,87","12,88","2,58","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_LIC_00","VMFS","499,75","411,12","88,63","17,73","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_IA-3","VMFS","6143,75","6134,74","9,01","0,15","True","8","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_OS_WSUS_01","VMFS","499,75","472,20","27,55","5,51","True","7","0","10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.24;10.80.18.23"
"datastore1 (3)","VMFS","150,75","148,80","1,95","1,29","True","1","0","10.80.18.118"
"DS_Temp_ELK","VMFS","2047,75","2046,28","1,47","0,07","True","4","1","10.80.18.10;10.80.18.5;10.80.18.24;10.80.18.23"
"DS_OS_IA-2","VMFS","1023,75","256,79","766,96","74,92","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SAGEX3_TEST","VMFS","1023,75","549,07","474,68","46,37","True","11","2","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_CACHE_SSD_41","VMFS","223,5","222,09","1,41","0,63","True","1","0","10.80.18.70"
"DS_DATA_RAFM-3","VMFS","6143,75","1407,10","4736,65","77,10","True","5","0","10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_OS_VCENTER_123","VMFS","2047,75","2006,30","41,45","2,02","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_MX-01","VMFS","4095,75","3794,00","301,75","7,37","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_00","VMFS","6511,75","268,16","6243,59","95,88","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS-OS-VAS-027","VMFS","699,75","104,58","595,17","85,05","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DEV00_4","VMFS","499,75","313,54","186,21","37,26","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_XFILE_035","VMFS","499,75","367,19","132,56","26,53","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SRM02","VMFS","299,75","258,25","41,50","13,84","True","2","0","10.80.18.18;10.80.18.19"
"DS-OS-DXL-01","VMFS","1247,75","283,43","964,32","77,28","True","10","4","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ARIA","VMFS","499,75","208,25","291,50","58,33","True","11","1","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SRM03","VMFS","299,75","258,25","41,50","13,84","True","2","0","10.80.18.18;10.80.18.19"
"DS_DATA_RAT-1","VMFS","4094,25","630,67","3463,58","84,60","True","6","0","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_CACHE_SSD_18","VMFS","139,5","0,55","138,95","99,61","True","1","0","10.80.18.18"
"DS_OS_CRM-1","VMFS","1023,75","74,50","949,25","92,72","True","4","0","10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_IME_DATA_1","VMFS","10239,5","7497,79","2741,71","26,78","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CDR_2_ETENDU","VMFS","99,75","98,34","1,41","1,41","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DEV00-1","VMFS","1023,75","466,21","557,54","54,46","True","12","2","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ELK_2","VMFS","1223,75","120,73","1103,02","90,13","True","8","4","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"snap-4ec65c94-DS_DATA_X3-1","VMFS","4095,75","1759,56","2336,19","57,04","True","6","0","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"snap-12c3b764-DS_OS_X3-1","VMFS","2047,75","724,85","1322,90","64,60","True","6","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILE_ARCHI-2","VMFS","17407,5","2776,01","14631,49","84,05","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DEV00-3","VMFS","1023,75","596,69","427,06","41,72","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS&DATA_WSUS","VMFS","2047,75","1577,31","470,44","22,97","True","8","1","10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DBSQL_4","VMFS","1023,75","612,86","410,89","40,14","True","8","1","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SIEM","VMFS","4095,75","1937,14","2158,61","52,70","True","12","5","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_Test_PROJET","VMFS","1023,75","686,84","336,91","32,91","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_INFOBLOX","VMFS","3071,75","919,94","2151,81","70,05","True","10","4","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_ELK_HOST2","VMFS","20479,75","9105,05","11374,70","55,54","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_IME_3","VMFS","8191,5","2325,53","5865,97","71,61","True","5","1","10.80.18.10;10.80.18.5;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1 (8)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.18.18"
"DS_OS_PBI","VMFS","5119,5","4743,80","375,70","7,34","True","6","0","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_QRADAR_603","VMFS","5119,75","3302,66","1817,09","35,49","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1 (5)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.18.24"
"DS_OS_DTWH_00","VMFS","499,75","414,59","85,16","17,04","True","2","1","10.80.18.70;10.80.18.75"
"DS_STB_FZ_DATA_BD","VMFS","2047,75","1426,78","620,97","30,32","True","10","4","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_WSUS_02","VMFS","499,75","498,34","1,41","0,28","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_ICT-2","VMFS","5419,5","3538,99","1880,51","34,70","True","6","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_DATA_NVL_ICT","VMFS","2047,75","924,72","1123,03","54,84","True","2","1","10.80.18.70;10.80.18.75"
"DS_RFZ_DATA","VMFS","5119,75","5118,26","1,49","0,03","True","2","0","10.80.18.18;10.80.18.19"
"DS_OS_CRISTAL","VMFS","1023,75","998,01","25,74","2,51","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_PKI_02","VMFS","299,75","248,11","51,64","17,23","True","8","1","10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_STB_FZ_OS_BD","VMFS","1023,75","582,79","440,96","43,07","True","4","4","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_OS_CTX_VDA","VMFS","4095,75","226,82","3868,93","94,46","True","11","11","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_RELEVES","VMFS","5119,75","5118,08","1,67","0,03","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DBS_1","VMFS","1349,75","729,12","620,63","45,98","True","11","4","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MFL-1","VMFS","6143,75","4925,59","1218,16","19,83","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CDR-1","VMFS","20479,75","8189,38","12290,37","60,01","True","6","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_DBSQL-4","VMFS","10239,75","7506,67","2733,08","26,69","True","8","1","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ICT-1","VMFS","2047,75","1680,50","367,25","17,93","True","6","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS-OS-TESTSAM","VMFS","49,75","48,34","1,41","2,83","True","11","0","10.80.18.70;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_CACHE_SSD_24","VMFS","139,5","0,55","138,95","99,61","True","1","0","10.80.18.24"
"DS_DATA_ICT_5","VMFS","7167,75","7166,12","1,63","0,02","True","8","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CITRIX_02","VMFS","5119,75","4365,06","754,69","14,74","True","10","5","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_ICT_ALL_IN_ONE","VMFS","10314","2966,40","7347,60","71,24","True","3","1","10.80.18.10;10.80.18.5;10.80.18.115"
"DS-OS-TIEMAR-01","VMFS","1023,75","529,88","493,87","48,24","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_SHAREPOINT1","VMFS","8191,75","3782,59","4409,16","53,82","True","10","4","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_TEST_RESTAURATION","VMFS","10239,75","2193,75","8046,00","78,58","True","11","5","10.80.18.70;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1 (2)","VMFS","150,75","148,80","1,95","1,29","True","1","0","10.80.18.117"
"DS_DATA_DBSQL-1","VMFS","10239,75","3768,09","6471,66","63,20","True","8","3","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_XTASKs","VMFS","4095,75","1185,14","2910,61","71,06","True","4","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115"
"DS_DATA_RAFM-1","VMFS","16383,75","5218,93","11164,82","68,15","True","5","0","10.80.18.118;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_OS_BI-1","VMFS","15359,75","4795,90","10563,85","68,78","True","8","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_CACHE_SSD_42","VMFS","223,5","211,46","12,04","5,39","True","1","0","10.80.18.75"
"DS_OS-AVS","VMFS","2559,75","786,81","1772,94","69,26","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CDR-5","VMFS","3071,75","2046,29","1025,46","33,38","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_ARCHIVAGE_GLOB","VMFS","20479,75","20311,40","168,35","0,82","True","0","1",""
"DS_OS_CTX","VMFS","1023,75","622,19","401,56","39,22","True","2","0","10.80.18.18;10.80.18.19"
"DS_RESTO_SAGE","VMFS","5119,75","1879,90","3239,85","63,28","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_LYN_03","VMFS","499,75","150,62","349,13","69,86","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_ELK","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","10.80.18.10;10.80.18.5"
"DS_DATA_RAT-2","VMFS","2038","828,82","1209,18","59,33","True","6","0","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_OS_CRM (1)","VMFS","1499,75","1498,32","1,43","0,10","True","4","0","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115"
"DS_OS_IME_1","VMFS","2047,75","1845,51","202,24","9,88","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS-OS-WAB-1","VMFS","1023,75","826,97","196,78","19,22","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_BLST_SMSC","VMFS","499,75","286,67","213,08","42,64","True","6","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_MFL","VMFS","1535,75","389,82","1145,93","74,62","True","10","6","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_APP133","VMFS","499,75","322,61","177,14","35,45","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
