"Host","Cluster","ConnectionState","PowerState","Manufacturer","Model","SerialNumber","ProcessorType","CPUModelDetailed","CpuSockets","CpuCores","CpuThreads","CoresPerSocket","ThreadsPerCore","CpuTotalGHz","MemoryTotalGB","ESXiVersion","ESXiBuild","Parent","IsStandalone"
"10.80.24.20","Cluster_DR_Ext.","Connected","PoweredOn","HP","ProLiant DL580 G7","CZJ13310YP","Intel(R) Xeon(R) CPU E7- 4830  @ 2.13GHz","Intel(R) Xeon(R) CPU E7- 4830  @ 2.13GHz","2","16","16","8","1","34,1","271,99","6.7.0","10302608","Cluster_DR_Ext.","False"
"10.80.24.40","Cluster_DR","Connected","PoweredOn","HPE","ProLiant DL580 Gen10","CZJ82102ZH","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","4","96","192","24","2","201,12","1023,67","8.0.2","22380479","Cluster_DR","False"
"10.80.24.50","Cluster_DR","Connected","PoweredOn","HPE","ProLiant DL580 Gen10","CZJ82102ZF","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","4","96","192","24","2","201,12","1023,66","8.0.2","22380479","Cluster_DR","False"
