"Cluster","HostCount","PoweredOnVMs","TotalPhysicalCpuCores","TotalPhysicalMemoryGB","ProvisionedVCPU","ProvisionedVMRAMGB","ProvisionedVMStorageGB","SumHostCpuMHz_P95","SumHostMemConsumedKB_P95","Notes"
"Cluster_DR_Ext.","1","1","16","271,99","8","16","295,71","1319","20473469","Use performance P95 together with HA reserve, growth, workload peaks and ESX/VCF 9 compatibility/licensing constraints."
"Cluster_DR","2","24","192","2047,33","306","1169,25","68066,26","13834","426084078","Use performance P95 together with HA reserve, growth, workload peaks and ESX/VCF 9 compatibility/licensing constraints."
