"Host","Cluster","Name","IP","SubnetMask","Mac","Mtu","PortGroup","VMotionEnabled","FaultToleranceLoggingEnabled","ManagementTrafficEnabled","VsanTrafficEnabled"
"10.80.24.20","Cluster_DR_Ext.","vmk0","10.80.24.20","255.255.255.0","9c:8e:99:21:b1:4c","1500","Management Network","True","False","True","False"
"10.80.24.40","Cluster_DR","vmk0","10.80.24.40","255.255.255.0","94:f1:28:a5:97:98","1500","Management Network","True","False","True","False"
"10.80.24.40","Cluster_DR","vmk1","169.254.43.167","255.255.0.0","00:50:56:61:19:15","1500","LAN_SERVEURS","False","False","False","False"
"10.80.24.50","Cluster_DR","vmk0","10.80.24.50","255.255.255.0","94:f1:28:a5:8f:08","1500","Management Network","True","False","True","False"
