"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Snapshot de VM 16/06/2023 12:11:08","16/06/2023 14:12:56","38,23","GOOD"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Very GooD","16/06/2023 16:20:42","2,29","Apres creation du cluster"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Snapshot de VM 19/06/2023 09:54:06","19/06/2023 11:55:08","7,64",""
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Snapshot de VM 11/11/2023 12:04:59","11/11/2023 12:04:58","47,74",""
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Snapshot de VM 14/10/2024 08:20:19","14/10/2024 08:21:28","90",""
"TG002VMAPP220","CLUSTER_PF_FLOOZ_PROD","VM Snapshot 02/06/2026 17:43:34","02/06/2026 17:43:37","150,01",""
