"Name","LicenseKeyMasked","Total","Used","CostUnit","EditionKey"
"Product Evaluation","****-00000","0",,"","eval"
"vCenter Server 8 Standard","****-38G30","2","1","server","vc.standard.instance"
"vSphere 8 Enterprise Plus","****-05NN4","12","8","cpuPackage:32core","esx.enterprisePlus.cpuPackageCoreLimited"
