"Host","Cluster","ConnectionState","PowerState","Manufacturer","Model","SerialNumber","ProcessorType","CPUModelDetailed","CpuSockets","CpuCores","CpuThreads","CoresPerSocket","ThreadsPerCore","CpuTotalGHz","MemoryTotalGB","ESXiVersion","ESXiBuild","Parent","IsStandalone"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","Connected","PoweredOn","Dell Inc.","PowerEdge R940","690QQR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","CLUSTER_PF_FLOOZ_PROD","False"
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","Connected","PoweredOn","Dell Inc.","PowerEdge R940","88YBGR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","CLUSTER_PF_FLOOZ_PROD","False"
